case_id,dimension,time_s,dt_s,rk_stage,T_K,Cmax_kg_kg,r_m,z_m,R_m,rho,cp,k,D
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,39600.0,0.029296875,accepted_state,323.14893442462375,0.5058509950978074,0.0,0.0,0.02,714.7489273725193,2369.0871653922886,0.3376509951933734,6.602036376663589e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,43200.0,0.029296875,accepted_state,323.14893442464665,0.456154183687906,0.0,0.0,0.02,708.387735512052,2307.07809004764,0.3290386236177278,5.992205999409015e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,46800.0,0.029296875,accepted_state,323.14893442466257,0.4159599887867003,0.0,0.0,0.02,703.2428785646977,2253.742011308944,0.32163083490402,5.447372316404815e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,50400.0,0.029296875,accepted_state,323.14893442467803,0.3831866990977494,0.0,0.0,0.02,699.047897484512,2207.9590010627717,0.3152720834809405,4.965956384679033e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,54000.0,0.029296875,accepted_state,323.14893442468895,0.35620853298715655,0.0,0.0,0.02,695.594692222356,2168.6111298874193,0.30980710137325274,4.543343650592861e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,57600.0,0.029296875,accepted_state,323.1489344246974,0.33376665703258734,0.0,0.0,0.02,692.7221321001712,2134.666668510703,0.30509259284870877,4.173357434991032e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,61200.0,0.029296875,accepted_state,323.14893442470463,0.3148932826198606,0.0,0.0,0.02,690.3063401753421,2105.2227717912942,0.30100316274879085,3.849381930807002e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,64800.0,0.029296875,accepted_state,323.1489344247133,0.29884754533553975,0.0,0.0,0.02,688.2524858029491,2079.517210833862,0.2974329459491475,3.565069950213324e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,68400.0,0.029296875,accepted_state,323.14893442472106,0.28506261003194244,0.0,0.0,0.02,686.4880140840886,2056.9208573643023,0.29429456352281974,3.314701568423775e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,72000.0,0.029296875,accepted_state,323.1489344247279,0.273103419786132,0.0,0.0,0.02,684.9572377326249,2036.9208619833735,0.29151678638657963,3.0933069375837893e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,75600.0,0.029296875,accepted_state,323.1489344247347,0.2626339962514087,0.0,0.0,0.02,683.6171515201803,2019.1012723221315,0.2890418433780738,2.896656342386502e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,79200.0,0.029296875,accepted_state,323.1489344247415,0.25339274028422154,0.0,0.0,0.02,682.4342707563803,2003.1247430557323,0.2868228809799628,2.7211887642592957e-09
