time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg,药材表面
3660.0,2.5499999582169375,2.549999901692188,2.5499995981034376,2.5499980678766883,2.5499911669417576,2.549962922700971,2.5498576542135214,2.549481746439427,2.548268759412294,2.544821417179426,2.536031397062407,2.515565070137726,2.4719647098652584,2.390401308778034,2.2530197576991693,2.0435833688478473,1.7493510885031367,1.3771638017219383,,,,0.982177572385209
3720.0,2.54999993825861,2.549999858685501,2.5499994412489353,2.549997396212063,2.54998847982687,2.549953095978082,2.5498249975525957,2.5493766640819016,2.5479750523660165,2.544091709472613,2.5344143482511545,2.5121674959852953,2.4659390148114335,2.380914214885189,2.2397278527111832,2.0260714160336235,1.7300561722869845,1.3581953320557847,,,,0.9789930681928308
3780.0,2.5499999097689856,2.549999798908238,2.54999923041525,2.549996521880783,2.5499850943262072,2.549941087042689,2.5497862132236184,2.549254919107967,2.5476438895110096,2.543288772827821,2.5326735932982496,2.508580771358583,2.4596931150291637,2.3712312198117895,2.2263339831187645,2.008640075303836,1.7109902569205924,1.3395430986265915,,,,0.9759472638257832
3840.0,2.549999869536798,2.5499997166342045,2.549998949586075,2.5499953933439405,2.549980861281881,2.5499265106028375,2.5497404268994077,2.549114660231822,2.54727224579564,2.542408686356225,2.530805559880906,2.504804389383989,2.453231324938313,2.3613608133623996,2.2128469417591754,1.9912921618211263,1.692150165838804,1.3212075676312314,,,,0.972881753924673
3900.0,2.5499998133107886,2.549999604469524,2.5499985787870645,2.549993948546439,2.5499756071585993,2.5499089328379188,2.5496866847944837,2.5489539355072686,2.5468570348992428,2.541447588908169,2.5288069053040823,2.5008382437205365,2.4465584937203206,2.3513127154583016,2.199278996358142,1.9740385100809732,1.6735449749731384,1.3031817815209703,,,,0.969814007475121
3960.0,2.5499997355204824,2.549999452955918,2.549998089564192,2.5499921133588113,2.549969131477009,2.5498878683396935,2.5496224204744897,2.54877069918317,2.5463951345643077,2.540401749722303,2.5265999397366476,2.4966830509198217,2.4396806281299757,2.3410978748430926,2.1851536089864827,1.956887376938309,1.6551738069215947,1.2854449633664882,,,,0.966800171806931
4020.0,2.5499996289391644,2.5499992501036766,2.5499974508237924,2.5499897999146275,2.54996120429038,2.549862777686543,2.5495467188428145,2.548562823837967,2.5458834160642634,2.5392676072057085,2.52420971847703,2.492340059389325,2.4326039084783053,2.330726424054393,2.17072754074506,1.9398442589950415,1.6370342693413762,1.2679885896984846,,,,0.9637213721900434
4080.0,2.549999484282493,2.5499989808493924,2.549996626279608,2.549986904868122,2.549951563732705,2.5498330653955277,2.5494590228991565,2.5483281092844896,2.54531875718712,2.5380417680713645,2.5216726588729226,2.4878110356480074,2.4253350907387214,2.3202094807785727,2.1562787644998744,1.9229201071892426,1.6191320796412738,1.250796699547846,,,,0.9605843146433711
4140.0,2.549999289735937,2.549998626432679,2.5499955702353847,2.549983307575765,2.5499399136317615,2.5497980782703777,2.5493579777330257,2.5480642956581483,2.5446980738831457,2.536721077089598,2.518987399337017,2.4830985953843707,2.4178819385958343,2.3095589078025536,2.1418194178142507,1.9061199775143947,1.6014559351049904,1.2338349982695986,,,,0.9576194558697408
4200.0,2.549999030404754,2.549998163688212,2.549994227971066,2.5499788682517956,2.549925921376644,2.549757104743581,2.5492421543572092,2.547769080030442,2.5440183453001888,2.5353026120224453,2.516152943537441,2.4782053353448696,2.4102507140928715,2.2987818114906826,2.1273516014477507,1.8894340826369032,1.5839826323794908,1.2165212648932215,,,,0.95466299266584
4260.0,2.5499986876828493,2.5499975642526165,2.5499925344802166,2.5499734261089424,2.5499092158880154,2.5497093739773233,2.5491100515021885,2.5474401133869353,2.543276572585073,2.5337835251628253,2.5131682811703,2.473133420800196,2.4024469273064017,2.2874942224240056,2.112882971003393,1.8728684524754986,1.566718716853273,1.1993643626579011,,,,0.9517520356335359
4320.0,2.5499982385318396,2.5499967936759083,2.5499904131010953,2.5499667973770017,2.5498893853232114,2.549654054092606,2.5489600957696057,2.547075003267943,2.5424697961031577,2.5321611426963115,2.510032779577207,2.467885601942885,2.394476815346044,2.2759238090363514,2.0984177290593804,1.8564171301962213,1.5496453468626847,1.1824650104045213,,,,0.9490333575271461
4380.0,2.5499976546608174,2.549995810428979,2.549987774044343,2.549958773291362,2.549865975080273,2.5495902518666034,2.548790646719454,2.546671326470849,2.541595107087254,2.530392690729931,2.5067458505132794,2.4624640794766135,2.3863447603128147,2.2642564712650146,2.0839561690292503,1.8400757932884773,1.5327627397257904,1.1658474105569303,,,,0.9461872302248638
4440.0,2.5499969016059123,2.549994564811686,2.549984512836322,2.54994911805513,2.549838485758967,2.5495170115232906,2.5485999963612853,2.5462266216367198,2.540649618622721,2.5284717366506464,2.5033071079772125,2.4568716859413087,2.378057495663186,2.252503777472923,2.06951460796451,1.8238673820323386,1.5156765615578573,1.1494556647022363,,,,0.9432376125014843
4500.0,2.54999593769917,2.5499929977484017,2.5499805086528697,2.549937566734169,2.549806371282887,2.5494333151041535,2.548386378658073,2.5457384288217573,2.5396306012109253,2.526434320681247,2.4997172931082168,2.4511133107428806,2.3696245747754836,2.2406787743884853,2.055103792907048,1.8077934134776552,1.4985601875121857,1.133261931549202,,,,0.9403881037485515
4560.0,2.549994712937788,2.5499910395016894,2.5499756226700763,2.5499238235911736,2.5497690388372556,2.549338088255593,2.548147990771553,2.5452043344049238,2.538535529949804,2.5242789805318817,2.4959774792338907,2.4451933130650256,2.3610526840813444,2.2287874184093526,2.0407231988183008,1.7918434382990773,1.48165179214546,1.1172920244749187,,,,0.9376142671998062
