time_s,z_m,max_abs_delta_T_K,max_abs_delta_C_kg_kg,radial_weighted_mean_delta_T_K,radial_weighted_mean_delta_C_kg_kg
480.0,0.10810095779176977,0.06990503657681302,0.001252836374851185,0.05555812699834845,0.00010374746456724121
480.0,0.10903455688746658,0.0847674747333258,0.0012528363617105853,0.06747689596490285,0.00010374744158131885
480.0,0.1099602474607406,0.10226289779120634,0.0012528362659147696,0.08153234842014682,0.00010374727841937242
480.0,0.11087769214552082,0.12274087669709388,0.0012528356125662832,0.09801534385879491,0.00010374619462926453
480.0,0.11178649938229036,0.14657283155094092,0.0012528314557949116,0.1172369148660601,0.00010373947803383138
480.0,0.11268612433286049,0.17414474116537804,0.0012528068688220095,0.1395227682851811,0.00010370077208830375
480.0,0.11357566155031681,0.20584122753967904,0.001252672216473627,0.16520073724958537,0.00010349419679098455
480.0,0.11445345181243931,0.2420117465434828,0.00125199309711288,0.1945735082364919,0.0001024785428229644
480.0,0.11531648055089319,0.2829063015521456,0.0012488625739246473,0.22786606479470653,9.791250170060744e-05
480.0,0.11615971333464245,0.32857318712893857,0.0012358130763017172,0.26514118525589886,7.933899042362365e-05
480.0,0.11697592061638235,0.3787441222656298,0.0011872975762781124,0.30620306871141545,1.1900168092217633e-05
480.0,0.11776318273753608,0.43323296357874597,0.0010274486966990182,0.35092075181705823,-0.00020534750361324175
480.0,0.1185312860297518,0.49267230793492445,0.0013220988586579718,0.39983632428128824,-0.0008386151074172106
480.0,0.11929291462851194,0.5582562597043648,0.003043158567652693,0.45396257239824417,-0.0025482644367404777
480.0,0.12005385934471033,0.6309258131715296,0.007482706500157921,0.5141147902808639,-0.00683492551295134
480.0,0.12081480406090875,0.7112567959873104,0.017766655823891586,0.5808148712854254,-0.016745184128615486
480.0,0.12157574877710715,0.7997631353829888,0.0396148327651904,0.654537871454135,-0.0377958825168267
480.0,0.12233669349330556,0.8969440955797268,0.08212164550282397,0.7357553503175172,-0.07880618392947547
480.0,0.12309763820950397,1.0032705485598967,0.15785904410527474,0.8249305704383233,-0.15208058030154545
480.0,0.12385858292570237,1.119192101313729,0.28183847217876323,0.9225146678284639,-0.2724615017414636
480.0,0.12461952764190079,1.2451272212774143,0.4694450536634589,1.0289442953428802,-0.4554811272573767
480.0,0.125,1.3132938913819316,0.5980778311769535,1.086792734146687,-0.5816434148791451
540.0,0.0,0.0002700339135799368,0.0011656760510281305,-3.850744498868309e-05,0.00010478313005969055
540.0,0.0005231494912409765,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005985929
540.0,0.0015694484714494639,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005985929
540.0,0.0026157474465723883,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005989394
